"Winning.Percentage","Pk","DraftYr","MPG","salary","season","name","team","MPGcat.Winning.Percentage","MPGcat.Pk","MPGcat.DraftYr","MPGcat.MPG","MPGcat.salary","MPGcat.season","MPGcat.name","MPGcat.team","PCTCat","MPGCat"
0.573, 2,2005,28.1,1943275.96,2008,"Marvin Williams","Atlanta Hawks",0.573, 2,2005,High,4466040,2008,Marvin Williams,Atlanta Hawks,"Above","Medium"
0.585, 3,2005,34.2,4768988.73,2008,"Deron Williams","Utah Jazz",0.585, 3,2005,High,4010640,2008,Deron Williams,Utah Jazz,"Above","High"
0.476,56,2005,21.1,1082341.43,2008,"Amir Johnson","Detroit Pistons",0.476,56,2005,Medium,3666667,2008,Amir Johnson,Detroit Pistons,"Below","Medium"
0.427, 5,2005,29.7, 986478.10,2008,"Raymond Felton","Charlotte Bobcats",0.427, 5,2005,High,3274440,2008,Raymond Felton,Charlotte Bobcats,"Below","Medium"
0.659, 6,2005,24.0, 822541.14,2008,"Martell Webster","Portland Trail Blazers",0.659, 6,2005,Medium,2974080,2008,Martell Webster,Portland Trail Blazers,"Above","Medium"
0.415, 7,2005,20.7,1882689.43,2008,"Charlie Villanueva","Milwaukee Bucks",0.415, 7,2005,Medium,2715000,2008,Charlie Villanueva,Milwaukee Bucks,"Below","Medium"
0.659, 8,2005,22.2,2188476.83,2008,"Channing Frye","Portland Trail Blazers",0.659, 8,2005,Medium,2487240,2008,Channing Frye,Portland Trail Blazers,"Above","Medium"
0.232,49,2005,22.1,1686222.96,2008,"Andray Blatche","Washington Wizards",0.232,49,2005,Medium,2479339,2008,Andray Blatche,Washington Wizards,"Below","Medium"
0.439, 9,2005,12.4, 556091.29,2008,"Ike Diogu","Indiana Pacers",0.439, 9,2005,Medium,2286360,2008,Ike Diogu,Indiana Pacers,"Below","Low"
0.793,10,2005,25.6,1684751.72,2008,"Andrew Bynum","Los Angeles Lakers",0.793,10,2005,High,2172000,2008,Andrew Bynum,Los Angeles Lakers,"Above","Medium"
0.427,13,2005,15.7, 637899.48,2008,"Sean May","Charlotte Bobcats",0.427,13,2005,Medium,1862160,2008,Sean May,Charlotte Bobcats,"Below","Low"
0.293,14,2005,20.2,1192821.12,2008,"Rashad McCants","Minnesota Timberwolves",0.293,14,2005,Medium,1769160,2008,Rashad McCants,Minnesota Timberwolves,"Below","Medium"
0.415,15,2005,19.2,1066091.09,2008,"Antoine Wright","Brooklyn Nets",0.415,15,2005,Medium,1680600,2008,Antoine Wright,Brooklyn Nets,"Below","Medium"
0.402,16,2005,16.2,1169672.59,2008,"Joey Graham","Toronto Raptors",0.402,16,2005,Medium,1596600,2008,Joey Graham,Toronto Raptors,"Below","Medium"
0.439,17,2005,31.5,1539601.13,2008,"Danny Granger","Indiana Pacers",0.439,17,2005,High,1516800,2008,Danny Granger,Indiana Pacers,"Below","Medium"
0.439,38,2005,14.9, 417627.29,2008,"Travis Diener","Indiana Pacers",0.439,38,2005,Medium,1500000,2008,Travis Diener,Indiana Pacers,"Below","Low"
0.293,18,2005,19.8,1754430.65,2008,"Gerald Green","Minnesota Timberwolves",0.293,18,2005,Medium,1440960,2008,Gerald Green,Minnesota Timberwolves,"Below","Medium"
0.293,19,2005,20.2,1333873.27,2008,"Hakim Warrick","Memphis Grizzlies",0.293,19,2005,Medium,1376040,2008,Hakim Warrick,Memphis Grizzlies,"Below","Medium"
0.390,21,2005,22.5,2131129.64,2008,"Nate Robinson","New York Knicks",0.390,21,2005,Medium,1268160,2008,Nate Robinson,New York Knicks,"Below","Medium"
0.659,22,2005,27.8,1396894.63,2008,"Jarrett Jack","Portland Trail Blazers",0.659,22,2005,High,1217400,2008,Jarrett Jack,Portland Trail Blazers,"Above","Medium"
0.646,24,2005,22.4, 838969.65,2008,"Luther Head","Houston Rockets",0.646,24,2005,Medium,1122000,2008,Luther Head,Houston Rockets,"Above","Medium"
0.476,26,2005,18.4, 964426.21,2008,"Jason Maxiell","Detroit Pistons",0.476,26,2005,Medium,1041360,2008,Jason Maxiell,Detroit Pistons,"Below","Medium"
0.659,27,2005,20.0,1849916.28,2008,"Linas Kleiza","Denver Nuggets",0.659,27,2005,Medium,1011360,2008,Linas Kleiza,Denver Nuggets,"Above","Medium"
0.524,29,2005, 9.9,  25282.01,2008,"Wayne Simien","Miami Heat",0.524,29,2005,Low, 997800,2008,Wayne Simien,Miami Heat,"Above","Low"
0.390,30,2005,29.3, 853901.00,2008,"David Lee","New York Knicks",0.390,30,2005,High, 990600,2008,David Lee,New York Knicks,"Below","Medium"
0.585,34,2005,20.4,1090320.29,2008,"C.J. Miles","Utah Jazz",0.585,34,2005,Medium, 945610,2008,C.J. Miles,Utah Jazz,"Above","Medium"
0.573,31,2005,17.0,2193140.55,2008,"Salim Stoudamire","Atlanta Hawks",0.573,31,2005,Medium, 783000,2008,Salim Stoudamire,Atlanta Hawks,"Above","Medium"
0.793,37,2005,17.0,2064556.68,2008,"Ronny Turiaf","Los Angeles Lakers",0.793,37,2005,Medium, 770610,2008,Ronny Turiaf,Los Angeles Lakers,"Above","Medium"
0.659,39,2005,12.4,  75266.89,2008,"Von Wafer","Portland Trail Blazers",0.659,39,2005,Medium, 770610,2008,Von Wafer,Portland Trail Blazers,"Above","Low"
0.207,53,2005,11.9, 263056.60,2008,"Orien Greene","Sacramento Kings",0.207,53,2005,Low, 770610,2008,Orien Greene,Sacramento Kings,"Below","Low"
0.500,45,2005,24.3, 770610.00,2008,"Lou Williams","Philadelphia 76ers",0.500,45,2005,High, 770610,2008,Lou Williams,Philadelphia 76ers,"Below","Medium"
0.610,33,2005,21.6,1792925.30,2008,"Brandon Bass","Dallas Mavericks",0.610,33,2005,Medium, 770610,2008,Brandon Bass,Dallas Mavericks,"Above","Medium"
0.354,40,2005,34.8,5663736.16,2008,"Monta Ellis","Golden State Warriors",0.354,40,2005,High, 770610,2008,Monta Ellis,Golden State Warriors,"Below","High"
0.293,50,2005,27.6,1502919.88,2008,"Ryan Gomes","Minnesota Timberwolves",0.293,50,2005,High, 770610,2008,Ryan Gomes,Minnesota Timberwolves,"Below","Medium"
0.659,28,2005,16.8,1818679.18,2008,"Ian Mahinmi","San Antonio Spurs",0.659,28,2005,Medium, 625840,2008,Ian Mahinmi,San Antonio Spurs,"Above","Medium"
0.720,57,2005,25.7,1458271.22,2008,"Marcin Gortat","Orlando Magic",0.720,57,2005,High, 427163,2008,Marcin Gortat,Orlando Magic,"Above","Medium"
0.488, 1,2006,28.7,1606083.39,2009,"Andrea Bargnani","Toronto Raptors",0.488, 1,2006,High,5176440,2009,Andrea Bargnani,Toronto Raptors,"Below","Medium"
0.610, 2,2006,33.8,4660304.33,2009,"LaMarcus Aldridge","Portland Trail Blazers",0.610, 2,2006,High,4631400,2009,LaMarcus Aldridge,Portland Trail Blazers,"Above","High"
0.537, 3,2006,20.4,2002167.72,2009,"Adam Morrison","Charlotte Bobcats",0.537, 3,2006,Medium,4159200,2009,Adam Morrison,Charlotte Bobcats,"Above","Medium"
0.500, 4,2006,19.7,3749880.00,2009,"Tyrus Thomas","Chicago Bulls",0.500, 4,2006,Medium,3749880,2009,Tyrus Thomas,Chicago Bulls,"Below","Medium"
0.744,42,2006,23.5,1030050.52,2009,"Daniel Gibson","Cleveland Cavaliers",0.744,42,2006,Medium,3700000,2009,Daniel Gibson,Cleveland Cavaliers,"Above","Medium"
0.305, 5,2006,15.5, 595685.08,2009,"Shelden Williams","Sacramento Kings",0.305, 5,2006,Medium,3395760,2009,Shelden Williams,Sacramento Kings,"Below","Low"
0.610, 6,2006,35.5,2472685.84,2009,"Brandon Roy","Portland Trail Blazers",0.610, 6,2006,High,3084240,2009,Brandon Roy,Portland Trail Blazers,"Above","High"
0.183, 7,2006,25.6,1969805.28,2009,"Randy Foye","Minnesota Timberwolves",0.183, 7,2006,High,2815560,2009,Randy Foye,Minnesota Timberwolves,"Below","Medium"
0.488, 8,2006,32.0,1712014.88,2009,"Rudy Gay","Memphis Grizzlies",0.488, 8,2006,High,2579400,2009,Rudy Gay,Memphis Grizzlies,"Below","Medium"
0.183,36,2006,16.9,2116543.38,2009,"Craig Smith","Minnesota Timberwolves",0.183,36,2006,Medium,2500000,2009,Craig Smith,Minnesota Timberwolves,"Below","Medium"
0.610,10,2006, 5.5,  90885.36,2009,"Mouhamed Sene","Oklahoma City Thunder",0.610,10,2006,Low,2252400,2009,Mouhamed Sene,Oklahoma City Thunder,"Above","Low"
0.610,13,2006,21.9,1664577.25,2009,"Thabo Sefolosha","Oklahoma City Thunder",0.610,13,2006,Medium,1931160,2009,Thabo Sefolosha,Oklahoma City Thunder,"Above","Medium"
0.646,14,2006,23.0,1207038.44,2009,"Ronnie Brewer","Utah Jazz",0.646,14,2006,Medium,1834680,2009,Ronnie Brewer,Utah Jazz,"Above","Medium"
0.305,15,2006, 9.4, 260451.44,2009,"Cedric Simmons","Sacramento Kings",0.305,15,2006,Low,1742760,2009,Cedric Simmons,Sacramento Kings,"Below","Low"
0.183,16,2006,15.4, 624749.01,2009,"Rodney Carney","Minnesota Timberwolves",0.183,16,2006,Medium,1655760,2009,Rodney Carney,Minnesota Timberwolves,"Below","Low"
0.671,17,2006,17.1,1435476.05,2009,"Shawne Williams","Dallas Mavericks",0.671,17,2006,Medium,1572960,2009,Shawne Williams,Dallas Mavericks,"Above","Medium"
0.317,18,2006, 9.4, 111163.63,2009,"Oleksiy Pecherov","Washington Wizards",0.317,18,2006,Low,1446720,2009,Oleksiy Pecherov,Washington Wizards,"Below","Low"
0.488,19,2006,10.7, 642603.71,2009,"Quincy Douby","Toronto Raptors",0.488,19,2006,Low,1427040,2009,Quincy Douby,Toronto Raptors,"Below","Low"
0.646,20,2006,13.9,  34424.50,2009,"Renaldo Balkman","Denver Nuggets",0.646,20,2006,Medium,1369920,2009,Renaldo Balkman,Denver Nuggets,"Above","Low"
0.610,21,2006,30.0, 863020.02,2009,"Rajon Rondo","Boston Celtics",0.610,21,2006,High,1315080,2009,Rajon Rondo,Boston Celtics,"Above","Medium"
0.317,22,2006,15.2, 404843.90,2009,"Marcus Williams","Golden State Warriors",0.317,22,2006,Medium,1262520,2009,Marcus Williams,Golden State Warriors,"Below","Low"
0.146,23,2006,17.5,1512894.36,2009,"Josh Boone","Brooklyn Nets",0.146,23,2006,Medium,1212120,2009,Josh Boone,Brooklyn Nets,"Below","Medium"
0.488,24,2006,31.9, 917799.54,2009,"Kyle Lowry","Memphis Grizzlies",0.488,24,2006,High,1163520,2009,Kyle Lowry,Memphis Grizzlies,"Below","Medium"
0.695,26,2006,19.5,1047128.75,2009,"Jordan Farmar","Los Angeles Lakers",0.695,26,2006,Medium,1080000,2009,Jordan Farmar,Los Angeles Lakers,"Above","Medium"
0.146,28,2006, 6.2, 669867.87,2009,"Maurice Ager","Brooklyn Nets",0.146,28,2006,Low,1042440,2009,Maurice Ager,Brooklyn Nets,"Below","Low"
0.354,29,2006,14.7, 612125.89,2009,"Mardy Collins","New York Knicks",0.354,29,2006,Medium,1034760,2009,Mardy Collins,New York Knicks,"Below","Low"
0.537,50,2006,11.8, 284503.46,2009,"Ryan Hollins","Charlotte Bobcats",0.537,50,2006,Low, 972581,2009,Ryan Hollins,Charlotte Bobcats,"Above","Low"
0.488, 9,2006, 5.8, 723527.63,2009,"Patrick O'Bryant","Toronto Raptors",0.488, 9,2006,Low, 797581,2009,Patrick O'Bryant,Toronto Raptors,"Below","Low"
0.610,49,2006,13.9, 116706.20,2009,"Leon Powe","Boston Celtics",0.610,49,2006,Medium, 797581,2009,Leon Powe,Boston Celtics,"Above","Low"
0.537,25,2006,18.0, 880162.72,2009,"Shannon Brown","Charlotte Bobcats",0.537,25,2006,Medium, 797581,2009,Shannon Brown,Charlotte Bobcats,"Above","Medium"
0.646,47,2006,28.2,2116378.68,2009,"Paul Millsap","Utah Jazz",0.646,47,2006,High, 797581,2009,Paul Millsap,Utah Jazz,"Above","Medium"
0.646,37,2006, 9.5, 484365.95,2009,"Bobby Jones","Denver Nuggets",0.646,37,2006,Low, 797581,2009,Bobby Jones,Denver Nuggets,"Above","Low"
0.646,33,2006,11.0,  53184.50,2009,"Solomon Jones","Atlanta Hawks",0.646,33,2006,Low, 797581,2009,Solomon Jones,Atlanta Hawks,"Above","Low"
0.488,54,2006, 7.5, 240085.20,2009,"Hassan Adams","Toronto Raptors",0.488,54,2006,Low, 711517,2009,Hassan Adams,Toronto Raptors,"Below","Low"
0.354,51,2006, 5.2, 369724.88,2009,"Cheikh Samb","New York Knicks",0.354,51,2006,Low, 711517,2009,Cheikh Samb,New York Knicks,"Below","Low"
0.317,46,2006,10.5, 235105.66,2009,"Dee Brown","Washington Wizards",0.317,46,2006,Low, 711517,2009,Dee Brown,Washington Wizards,"Below","Low"
0.512,31,2006, 8.7,  31682.21,2009,"James White","Houston Rockets",0.512,31,2006,Low, 184157,2009,James White,Houston Rockets,"Above","Low"
0.585, 1,2007,19.3,1277339.34,2010,"Greg Oden","Portland Trail Blazers",0.585, 1,2007,Medium,5361240,2010,Greg Oden,Portland Trail Blazers,"Above","Medium"
0.671, 2,2007,36.7,3806006.27,2010,"Kevin Durant","Oklahoma City Thunder",0.671, 2,2007,Very High,4796880,2010,Kevin Durant,Oklahoma City Thunder,"Above","High"
0.537, 3,2007,32.2,4214271.08,2010,"Al Horford","Atlanta Hawks",0.537, 3,2007,High,4307640,2010,Al Horford,Atlanta Hawks,"Above","High"
0.561, 4,2007,32.0,1521670.02,2010,"Mike Conley","Memphis Grizzlies",0.561, 4,2007,High,3883800,2010,Mike Conley,Memphis Grizzlies,"Above","Medium"
0.207,56,2007,23.3,2186607.34,2010,"Ramon Sessions","Minnesota Timberwolves",0.207,56,2007,Medium,3670667,2010,Ramon Sessions,Minnesota Timberwolves,"Below","Medium"
0.671, 5,2007,29.1,1671295.25,2010,"Jeff Green","Oklahoma City Thunder",0.671, 5,2007,High,3516960,2010,Jeff Green,Oklahoma City Thunder,"Above","Medium"
0.561,48,2007,32.2,5781928.65,2010,"Marc Gasol","Memphis Grizzlies",0.561,48,2007,High,3333333,2010,Marc Gasol,Memphis Grizzlies,"Above","High"
0.293, 6,2007,22.2,1359198.86,2010,"Yi Jianlian","Brooklyn Nets",0.293, 6,2007,Medium,3194400,2010,Yi Jianlian,Brooklyn Nets,"Below","Medium"
0.683,35,2007,21.1,1130246.77,2010,"Glen Davis","Boston Celtics",0.683,35,2007,Medium,3000004,2010,Glen Davis,Boston Celtics,"Above","Medium"
0.293,31,2007,22.5,2048376.15,2010,"Carl Landry","Sacramento Kings",0.293,31,2007,Medium,3000000,2010,Carl Landry,Sacramento Kings,"Below","Medium"
0.207, 7,2007,22.9,2022175.98,2010,"Corey Brewer","Minnesota Timberwolves",0.207, 7,2007,Medium,2916120,2010,Corey Brewer,Minnesota Timberwolves,"Below","Medium"
0.524, 8,2007,16.2,1519122.70,2010,"Brandan Wright","Houston Rockets",0.524, 8,2007,Medium,2671440,2010,Brandan Wright,Houston Rockets,"Above","Medium"
0.756, 9,2007,27.7,1924117.74,2010,"Joakim Noah","Chicago Bulls",0.756, 9,2007,High,2455680,2010,Joakim Noah,Chicago Bulls,"Above","Medium"
0.293,10,2007,22.7,1212830.46,2010,"Spencer Hawes","Sacramento Kings",0.293,10,2007,Medium,2332800,2010,Spencer Hawes,Sacramento Kings,"Below","Medium"
0.415,11,2007,12.7, 279986.65,2010,"Acie Law","Charlotte Bobcats",0.415,11,2007,Medium,2216160,2010,Acie Law,Charlotte Bobcats,"Below","Low"
0.500,12,2007,29.5,2105400.00,2010,"Thaddeus Young","Philadelphia 76ers",0.500,12,2007,High,2105400,2010,Thaddeus Young,Philadelphia 76ers,"Below","Medium"
0.280,14,2007,28.0, 984277.73,2010,"Al Thornton","Washington Wizards",0.280,14,2007,High,1900200,2010,Al Thornton,Washington Wizards,"Below","Medium"
0.366,15,2007,27.5,1170194.41,2010,"Rodney Stuckey","Detroit Pistons",0.366,15,2007,High,1805040,2010,Rodney Stuckey,Detroit Pistons,"Below","Medium"
0.280,16,2007,22.8, 807362.20,2010,"Nick Young","Washington Wizards",0.280,16,2007,Medium,1714800,2010,Nick Young,Washington Wizards,"Below","Medium"
0.293,17,2007,14.4, 693650.23,2010,"Sean Williams","Brooklyn Nets",0.293,17,2007,Medium,1629120,2010,Sean Williams,Brooklyn Nets,"Below","Low"
0.268,18,2007,22.7,1942330.23,2010,"Marco Belinelli","Toronto Raptors",0.268,18,2007,Medium,1547640,2010,Marco Belinelli,Toronto Raptors,"Below","Medium"
0.280,19,2007,16.4,1042945.08,2010,"Javaris Crittenton","Washington Wizards",0.280,19,2007,Medium,1477920,2010,Javaris Crittenton,Washington Wizards,"Below","Medium"
0.500,20,2007,16.3,1418880.00,2010,"Jason Smith","Philadelphia 76ers",0.500,20,2007,Medium,1418880,2010,Jason Smith,Philadelphia 76ers,"Below","Medium"
0.707,21,2007,18.3,1285038.88,2010,"Daequan Cook","Miami Heat",0.707,21,2007,Medium,1362120,2010,Daequan Cook,Miami Heat,"Above","Medium"
0.488,22,2007,22.3,1975071.91,2010,"Jared Dudley","Phoenix Suns",0.488,22,2007,Medium,1307640,2010,Jared Dudley,Phoenix Suns,"Below","Medium"
0.512,23,2007,30.0,1996836.12,2010,"Wilson Chandler","New York Knicks",0.512,23,2007,High,1255440,2010,Wilson Chandler,New York Knicks,"Above","Medium"
0.524,26,2007,20.8, 847400.71,2010,"Aaron Brooks","Houston Rockets",0.524,26,2007,Medium,1118520,2010,Aaron Brooks,Houston Rockets,"Above","Medium"
0.610,27,2007,27.3,2153454.79,2010,"Arron Afflalo","Denver Nuggets",0.610,27,2007,High,1086240,2010,Arron Afflalo,Denver Nuggets,"Above","Medium"
0.488,29,2007, 8.4, 109415.22,2010,"Alando Tucker","Phoenix Suns",0.488,29,2007,Low,1071720,2010,Alando Tucker,Phoenix Suns,"Below","Low"
0.756,49,2007,12.1, 149518.10,2010,"Aaron Gray","Chicago Bulls",0.756,49,2007,Medium,1000497,2010,Aaron Gray,Chicago Bulls,"Above","Low"
0.476,38,2007, 8.2, 336057.15,2010,"Kyrylo Fesenko","Utah Jazz",0.476,38,2007,Low, 870000,2010,Kyrylo Fesenko,Utah Jazz,"Below","Low"
0.280,47,2007,15.6, 339016.68,2010,"Dominic McGuire","Washington Wizards",0.280,47,2007,Medium, 825497,2010,Dominic McGuire,Washington Wizards,"Below","Low"
0.561,33,2007, 3.0, 669077.89,2010,"Marcus Williams","Memphis Grizzlies",0.561,33,2007,Low, 825497,2010,Marcus Williams,Memphis Grizzlies,"Above","Low"
0.439,36,2007, 8.3, 362583.31,2010,"Jermareo Davidson","Golden State Warriors",0.439,36,2007,Low, 825497,2010,Jermareo Davidson,Golden State Warriors,"Below","Low"
0.610,33,2007, 3.0, 618652.02,2010,"Marcus Williams","Denver Nuggets",0.610,33,2007,Low, 825497,2010,Marcus Williams,Denver Nuggets,"Above","Low"
0.451,37,2007,19.1,1031859.28,2010,"Josh McRoberts","Indiana Pacers",0.451,37,2007,Medium, 825497,2010,Josh McRoberts,Indiana Pacers,"Below","Medium"
0.683,32,2007, 7.4, 235698.30,2010,"Gabe Pruitt","Boston Celtics",0.683,32,2007,Low, 825497,2010,Gabe Pruitt,Boston Celtics,"Above","Low"
0.695,40,2007, 2.8, 170110.63,2010,"Sun Yue","Los Angeles Lakers",0.695,40,2007,Low, 736420,2010,Sun Yue,Los Angeles Lakers,"Above","Low"
0.561,42,2007,18.5,1838449.71,2010,"Derrick Byars","Memphis Grizzlies",0.561,42,2007,Medium, 457588,2010,Derrick Byars,Memphis Grizzlies,"Above","Medium"
0.756,41,2007,11.1, 199253.71,2010,"Chris Richard","Chicago Bulls",0.756,41,2007,Low, 186271,2010,Chris Richard,Chicago Bulls,"Above","Low"
0.758, 1,2008,31.7,1180436.27,2011,"Derrick Rose","Chicago Bulls",0.758, 1,2008,High,5546160,2011,Derrick Rose,Chicago Bulls,"Above","Medium"
0.394, 2,2008,22.8,1864819.20,2011,"Michael Beasley","Minnesota Timberwolves",0.394, 2,2008,Medium,4962240,2011,Michael Beasley,Minnesota Timberwolves,"Below","Medium"
0.621, 3,2008,30.9,1743616.39,2011,"O.J. Mayo","Memphis Grizzlies",0.621, 3,2008,High,4456200,2011,O.J. Mayo,Memphis Grizzlies,"Above","Medium"
0.712, 4,2008,34.7,4904698.18,2011,"Russell Westbrook","Oklahoma City Thunder",0.712, 4,2008,High,4017720,2011,Russell Westbrook,Oklahoma City Thunder,"Above","High"
0.394, 5,2008,31.1,1523047.14,2011,"Kevin Love","Minnesota Timberwolves",0.394, 5,2008,High,3638280,2011,Kevin Love,Minnesota Timberwolves,"Below","Medium"
0.545, 6,2008,29.9,1284596.44,2011,"Danilo Gallinari","New York Knicks",0.545, 6,2008,High,3304560,2011,Danilo Gallinari,New York Knicks,"Above","Medium"
0.106, 9,2008,23.5,1179641.47,2011,"D.J. Augustin","Charlotte Bobcats",0.106, 9,2008,Medium,2540000,2011,D.J. Augustin,Charlotte Bobcats,"Below","Medium"
0.333,10,2008,30.3,1277980.35,2011,"Brook Lopez","Brooklyn Nets",0.333,10,2008,High,2413320,2011,Brook Lopez,Brooklyn Nets,"Below","Medium"
0.348,11,2008,21.3,1782620.19,2011,"Jerryd Bayless","Toronto Raptors",0.348,11,2008,Medium,2292600,2011,Jerryd Bayless,Toronto Raptors,"Below","Medium"
0.333,12,2008,25.2,1624285.77,2011,"Jason Thompson","Sacramento Kings",0.333,12,2008,High,2178000,2011,Jason Thompson,Sacramento Kings,"Below","Medium"
0.636,13,2008,22.0,2120018.79,2011,"Brandon Rush","Indiana Pacers",0.636,13,2008,Medium,2069040,2011,Brandon Rush,Indiana Pacers,"Above","Medium"
0.545,14,2008,15.2,  72296.98,2011,"Anthony Randolph","New York Knicks",0.545,14,2008,Medium,1965720,2011,Anthony Randolph,New York Knicks,"Above","Low"
0.500,15,2008,22.0,1867320.00,2011,"Robin Lopez","Phoenix Suns",0.500,15,2008,Medium,1867320,2011,Robin Lopez,Phoenix Suns,"Below","Medium"
0.530,16,2008,15.1,  70692.40,2011,"Marreese Speights","Philadelphia 76ers",0.530,16,2008,Medium,1773960,2011,Marreese Speights,Philadelphia 76ers,"Above","Low"
0.636,17,2008,24.8,1271594.32,2011,"Roy Hibbert","Indiana Pacers",0.636,17,2008,High,1685280,2011,Roy Hibbert,Indiana Pacers,"Above","Medium"
0.303,18,2008,17.1,1453935.80,2011,"JaVale McGee","Washington Wizards",0.303,18,2008,Medium,1601040,2011,JaVale McGee,Washington Wizards,"Below","Medium"
0.561,21,2008,25.8, 843599.86,2011,"Ryan Anderson","Orlando Magic",0.561,21,2008,High,1409040,2011,Ryan Anderson,Orlando Magic,"Above","Medium"
0.515,22,2008,27.1,1292459.23,2011,"Courtney Lee","Houston Rockets",0.515,22,2008,High,1352640,2011,Courtney Lee,Houston Rockets,"Above","Medium"
0.394,23,2008,16.4,1268460.59,2011,"Kosta Koufos","Minnesota Timberwolves",0.394,23,2008,Medium,1298640,2011,Kosta Koufos,Minnesota Timberwolves,"Below","Medium"
0.712,24,2008,27.8,1339228.52,2011,"Serge Ibaka","Oklahoma City Thunder",0.712,24,2008,High,1204200,2011,Serge Ibaka,Oklahoma City Thunder,"Above","Medium"
0.424,25,2008,30.8,2149048.49,2011,"Nicolas Batum","Portland Trail Blazers",0.424,25,2008,High,1196760,2011,Nicolas Batum,Portland Trail Blazers,"Below","Medium"
0.621,27,2008,17.8,1297146.74,2011,"Darrell Arthur","Memphis Grizzlies",0.621,27,2008,Medium,1123680,2011,Darrell Arthur,Memphis Grizzlies,"Above","Medium"
0.106,29,2008,15.3, 161457.90,2011,"D.J. White","Charlotte Bobcats",0.106,29,2008,Medium,1108680,2011,D.J. White,Charlotte Bobcats,"Below","Low"
0.545,38,2008,18.9,2138075.22,2011,"Kyle Weaver","Utah Jazz",0.545,38,2008,Medium, 854389,2011,Kyle Weaver,Utah Jazz,"Above","Medium"
0.697,34,2008,26.7,1334507.52,2011,"Mario Chalmers","Miami Heat",0.697,34,2008,High, 854389,2011,Mario Chalmers,Miami Heat,"Above","Medium"
0.758,48,2008, 7.6, 139100.39,2011,"Malik Hairston","San Antonio Spurs",0.758,48,2008,Low, 854389,2011,Malik Hairston,San Antonio Spurs,"Above","Low"
0.348,39,2008,18.2,1700017.65,2011,"Sonny Weems","Toronto Raptors",0.348,39,2008,Medium, 854389,2011,Sonny Weems,Toronto Raptors,"Below","Medium"
0.758,26,2008,27.4,1561256.47,2011,"George Hill","San Antonio Spurs",0.758,26,2008,High, 854389,2011,George Hill,San Antonio Spurs,"Above","Medium"
0.545,47,2008,16.7,2089761.72,2011,"Henry Walker","New York Knicks",0.545,47,2008,Medium, 854389,2011,Henry Walker,New York Knicks,"Above","Medium"
0.333,52,2008, 7.5, 230233.67,2011,"Darnell Jackson","Sacramento Kings",0.333,52,2008,Low, 854389,2011,Darnell Jackson,Sacramento Kings,"Below","Low"
0.470,37,2008,23.3,1073121.89,2011,"Luc Mbah a Moute","Milwaukee Bucks",0.470,37,2008,Medium, 854389,2011,Luc Mbah a Moute,Milwaukee Bucks,"Below","Medium"
0.348, 8,2008,11.1, 535488.13,2011,"Joe Alexander","Golden State Warriors",0.348, 8,2008,Low, 854389,2011,Joe Alexander,Golden State Warriors,"Below","Low"
0.348,33,2008,11.4, 656797.41,2011,"Joey Dorsey","Toronto Raptors",0.348,33,2008,Low, 854389,2011,Joey Dorsey,Toronto Raptors,"Below","Low"
0.470,40,2008,19.7,1297471.98,2011,"Chris Douglas-Roberts","Milwaukee Bucks",0.470,40,2008,Medium, 854389,2011,Chris Douglas-Roberts,Milwaukee Bucks,"Below","Medium"
0.545,58,2008,11.5,  80836.79,2011,"Joe Crawford","New York Knicks",0.545,58,2008,Low, 736420,2011,Joe Crawford,New York Knicks,"Above","Low"
0.379,32,2008, 2.5, 350728.04,2011,"Walter Sharpe","Detroit Pistons",0.379,32,2008,Low, 736420,2011,Walter Sharpe,Detroit Pistons,"Below","Low"
0.318,60,2008,13.4, 148330.76,2011,"Semih Erden","Cleveland Cavaliers",0.318,60,2008,Medium, 473604,2011,Semih Erden,Cleveland Cavaliers,"Below","Low"
0.341,43,2009,23.4,1514791.54,2012,"Marcus Thornton","Sacramento Kings",0.341,43,2009,Medium,7525000,2012,Marcus Thornton,Sacramento Kings,"Below","Medium"
0.341, 4,2009,30.7,2030736.03,2012,"Tyreke Evans","Sacramento Kings",0.341, 4,2009,High,5251825,2012,Tyreke Evans,Sacramento Kings,"Below","Medium"
0.402, 2,2009,10.5, 247968.17,2012,"Hasheem Thabeet","Portland Trail Blazers",0.402, 2,2009,Low,5127720,2012,Hasheem Thabeet,Portland Trail Blazers,"Below","Low"
0.732, 3,2009,34.6,4951383.85,2012,"James Harden","Oklahoma City Thunder",0.732, 3,2009,High,4604760,2012,James Harden,Oklahoma City Thunder,"Above","High"
0.354,39,2009,17.8,1012273.74,2012,"Jonas Jerebko","Detroit Pistons",0.354,39,2009,Medium,4500000,2012,Jonas Jerebko,Detroit Pistons,"Below","Medium"
0.378, 5,2009,30.3,1120759.46,2012,"Ricky Rubio","Minnesota Timberwolves",0.378, 5,2009,High,3480120,2012,Ricky Rubio,Minnesota Timberwolves,"Below","Medium"
0.402, 6,2009,22.9,1026666.65,2012,"Jonny Flynn","Portland Trail Blazers",0.402, 6,2009,Medium,3414720,2012,Jonny Flynn,Portland Trail Blazers,"Below","Medium"
0.415, 9,2009,34.2,5314719.81,2012,"DeMar DeRozan","Toronto Raptors",0.415, 9,2009,High,3344250,2012,DeMar DeRozan,Toronto Raptors,"Below","High"
